id,name,party,sector,county
uvdl,Ursula von der Leyen,3,Politik,Deutschland
lk,Lars Klingbeil,1,Politik,Deutschland
nr,Norbert Röttgen,3,Politik,Deutschland
sw,Sahra Wagenknecht,5,Politik,Deutschland
cs,Constanze Stelzenmüller,,Rechtswesen,Deutschland
cl,Christian Lindner,4,Politik,Deutschland
ks,Karl Schlögel,,Geschichtswissenschaften,Deutschland
lm,Ljudmyla Melnyk,,Politikwissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Eglis Levits,,Politik,Lettland
ab,Annalena Baerbock,2,Politik,Deutschland
ft,Frans Timmermann,,Politik,Niederlande
am,Andrij Melnyk,,Diplomatie,Ukraine
agl,Alexander Graf Lambsdorff,4,Politik,Deutschland
er,Egon Ramms,,Militär,Deutschland
rh,Robert Habeck,2,Politik,Deutschland
cm,Claudia Major,,Politikwissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Ukraine
rk,Roderich Kiesewetter,3,Politik,Deutschland
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
